GRB,z,α,a_err,B,B_err,Fluence,Fluence_err,Range,Epeak,Epeak_err,Eiso,Eiso_err,Ref
050318b,1.44,−1.34,0.32,,,2.1e-6,0.2e-7,15-350,115,27,2.00e52,0.31e52,11
050401e,2.9,−1.00,0.0,−2.45,,1.93e-5,0.04e-5,20-2000,501,117,4.1e53,0.8e53,13
050416A,0.653,−1.01,0.0,−3.4,,3.5e-7,0.3e-7,15-150,28.6,8.3,8.3e50,2.9e50,14
050505b,4.27,−0.95,0.31,,,2.58e-6,3.06e-7,15-150,661,245,1.76e53,2.61e52,10
050525Ab,0.606,−0.01,0.11,,,2.01e-5,0.05e-5,15-350,127,5.5,2.89e52,0.57e52,25
050603,2.821,−0.79,0.06,−2.15,0.09,3.41e-5,0.06e-5,20-3000,1333,107,5.98e53,0.4e53,15
050803b,0.422,−0.99,0.37,,,2.08e-6,2.57e-7,15-150,138,48,1.86e51,3.99e50,10
050814b,5.3,−0.58,0.56,,,1.46e-6,1.16e-7,15-150,339,47,1.12e53,2.43e52,10
050820Ab,2.612,−1.12,0.14,,,5.27e-5,1.2e-5,20-1000,1325,277,9.75e53,0.77e53,16
050904,6.29,−1.11,0.06,−2.2,0.4,5.4e-6,1.e-7,15-150,3178,1094,1.24e54,0.1e54,26
050908b,3.344,−1.26,0.48,,,4.36e-7,0.46e-7,15-150,195,36,1.97e52,3.21e51,10
050922Cb,2.198,−0.83,0.26,,,2.6e-6,0.26e-6,30-400,417,118,4.53e52,0.78e52,17
051022b,0.80,−1.17,0.038,,,2.61e-4,0.8e-4,20-2000,918,63,5.3e53,0.5e53,27
051109Ab,2.346,−1.25,0.5,,,4.0e-6,1.0e-6,20-500,539,381,7.52e52,0.88e52,18
060115b,3.53,−1.13,0.32,,,1.6e-6,1.07e-7,15-150,288,47,7.38e52,1.23e52,10
060124b,2.297,−1.48,0.02,,,2.5e-5,0.35e-5,20-2000,636,162,4.3e53,0.34e53,19
060206b,4.048,−1.06,0.34,,,8.4e-7,0.4e-7,15-150,381,98,4.68e52,0.71e52,20
060210b,3.91,−1.12,0.26,,,6.92e-6,3.74e-7,15-150,575,186,4.15e53,5.7e52,10
060223Ab,4.41,−1.16,0.35,,,6.54e-7,0.52e-7,15-150,339,63,4.29e52,6.64e51,10
060418b,1.489,−1.50,0.15,,,1.6e-5,0.16e-5,20-1100,572,114,1.28e53,0.10e53,21
060510Bb,4.9,−1.53,0.19,,,3.86e-6,2.88e-7,15-150,575,227,3.67e53,2.87e52,10
060522b,5.11,−0.70,0.44,,,1.05e-6,1.04e-7,15-150,427,79,7.77e52,1.52e52,10
060526f,3.21,−1.1,0.4,−2.2,0.4,4.9e-7,0.6e-7,15-150,105.25,21.1,2.58e52,0.26e52,26
060605b,3.78,−1.0,0.44,...,...,5.33e-7,1.12e-7,15-150,490,251,2.83e52,4.5e51,10
060607Ab,3.082,−1.09,0.19,...,...,2.49e-6,1.58e-7,15-150,575,200,1.09e53,1.55e52,10
060614,0.125,−10,0,...,...,2.2e-5,0.22e-5,15-150,55,45,2.51e51,1.0e51,28
060707b,3.43,−0.73,0.4,...,...,1.63e-6,1.13e-7,15-150,302,42,6.62e52,1.39e52,10
060714b,2.711,−1.77,0.24,...,...,3.06e-6,3.96e-7,15-150,234,109,1.34e53,9.12e51,10
060814,0.84,−1.43,0.16,...,...,2.69e-5,0.26e-5,20-1000,473,155,7.01e52,0.7e52,32
060904Bb,0.703,−1.07,0.37,...,...,1.48e-6,1.91e-7,15-150,135,41,3.64e51,7.43e50,10
060906b,3.686,−1.6,0.31,...,...,2.38e-6,1.92e-7,15-150,209,43,1.49e53,1.56e52,10
060908b,2.43,−0.9,0.17,...,...,2.66e-6,1.11e-7,15-150,479,110,7.79e52,1.35e52,10
060927b,5.6,−0.93,0.38,...,...,1.1e-6,0.1e-6,15-150,473,116,9.55e52,1.48e52,22
061007,1.261,−0.7,0.04,−2.61,0.21,2.5e-4,0.15e-4,20-10000,902,43,8.82e53,0.98e53,23
061121b,1.314,−1.32,0.05,....,...,5.7e-5,0.4e-5,20-5000,1289,153,2.61e53,0.3e53,24
061126b,1.1588,−1.06,0.07,...,...,3.0e-5,0.4e-5,15-2000,1337,410,3.0e53,0.3e53,12
061222Bb,3.355,−1.3,0.37,...,...,2.24e-6,1.23e-7,15-150,200,28,1.03e53,1.6e52,10
070125,1.547,−1.1,0.1,−2.08,0.13,1.74e-4,0.17e-4,20-10000,934,148,9.3e53,0.93e53,30
